itp_id,espece,famille,nom_latin,type_planche,semaine_semis,semaine_plantation,semaine_implantation_debut,semaine_implantation_fin,semaine_recolte,semaine_recolte_fin,duree_recolte,duree_pepiniere,duree_culture,nb_rangs,espacement_cm,esp_rangs_cm,dose_semis,implantation,forcage,zone_climat,contexte_climatique,statut_validation,actif,source_reference,source_url,source_record_id,source_version,source_licence,derniere_revision,commentaire_agronome,notes
Courge-printemps,Courge,Cucurbitaceae,Cucurbita maxima,Plein champ,10,14,,,30,,4,,140,1,100,150,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis sous abri 6-8 semaines avant plantation. Sol > 18 °C, paillage chaud (BRF, plastique noir). Sensible au mildiou.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Courge-butternut,Courge butternut,Cucurbitaceae,Cucurbita maxima,,16,20,,,36,,4,,140,1,100,150,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis sous abri 6-8 semaines avant plantation. Sol > 18 °C, paillage chaud (BRF, plastique noir). Sensible au mildiou.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Courgette-ete-tardive,Courgette,Cucurbitaceae,Cucurbita pepo,Plein champ,20,24,,,40,,4,,140,1,81,121,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:20:20.025, \\n [2026-05-14] Courgette : espacement arrondi 81 → 80 cm.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Courgette-printemps,Courgette,Cucurbitaceae,Cucurbita pepo,Plein champ,14,18,,,34,,4,,140,1,81,121,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:20:20.025, \\n [2026-05-14] Courgette : espacement arrondi 81 → 80 cm.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Courgette-printemps-serre,Courgette,Cucurbitaceae,Cucurbita pepo,Sous abri,10,14,,,30,,4,28,140,1,81,121,,Sous abri,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:20:20.025, \\n [2026-05-14] Courgette : espacement arrondi 81 → 80 cm.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Curcuma (safran-pays) — antilles,Curcuma (safran-pays),Zingiberaceae,Curcuma longa,,,16,,,6,,4,,285,,30,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Plantation aux premières pluies (avril-mai), grossissement sur l'hivernage, récolte en carême. Sols riches et frais, mi-ombre. Même itinéraire que le gingembre, souvent associés au jardin."
Curcuma (safran-pays) — austral,Curcuma (safran-pays),Zingiberaceae,Curcuma longa,,,40,,,26,,6,,270,,30,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Plantation en début de saison humide (octobre), récolte quand le feuillage sèche en hiver austral (juin-juillet). Sol riche, meuble et humide durant la croissance ; assèchement en fin de cycle. Ombrage léger toléré. Se c"
Celeri,Céleri,Apiaceae,Apium graveolens,Plein champ,10,14,,,22,,4,,84,2,30,45,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Pépinière 8-10 semaines puis transplantation après les saintes glaces. Sol riche, humide, drainé.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Dachine (taro) — antilles,Dachine (taro),Araceae,Colocasia esculenta,,22,,,,12,,6,,270,,70,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Plantation dès le début de l'hivernage (juin) pour couvrir les besoins en eau élevés ; récolte en fin d'hivernage/début carême. Idéal en zone humide de basse et moyenne altitude, sols riches en matière organique. Irrigat"
Dachine (taro) — austral,Dachine (taro),Araceae,Colocasia esculenta,,40,40,,,18,,8,,240,,60,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Plantation début de saison humide (octobre), récolte en début d'hiver austral (mai). Exige de l'eau en permanence : bas-fonds, bord de rivière ou irrigation. Les feuilles servent aussi de brède. Sensible au dépérissement"
Dachine (taro) — equatorial,Dachine (taro),Araceae,Colocasia esculenta,,14,14,,,50,,8,,245,,70,,,,,equatorial,,a_revoir,t,,,,,,,"","Plantation à l'entrée de la grande saison des pluies (avril) pour couvrir les besoins hydriques élevés ; récolte au retour des pluies suivant (décembre). Idéal en bas-fond humide ou bordure de crique. Sans irrigation, év"
Fenouil-ete,Fenouil,Apiaceae,,Plein champ,29,33,,,41,,4,,84,2,35,52,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Plant repiqué tardif. Sol > 15 °C, exposition plein sud. Récolte des bulbes formés (cucurbitacée tardive).","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Fraise d'altitude — antilles,Fraise d'altitude,Rosaceae,Fragaria x ananassa,,,40,,,2,,10,,100,,30,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","À réserver aux zones d'altitude (Morne-Rouge / flancs de la Pelée en Martinique, hauteurs de Basse-Terre en Guadeloupe, > 400-500 m). Plantation des plants en début de carême (oct., sem. 40) ; la fructification profite d"
Fraise d'altitude — austral,Fraise d'altitude,Rosaceae,Fragaria x ananassa,,,14,,,38,,10,,150,,30,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Plantation des stolons en automne austral (avril, S14), pendant la fraîcheur qui favorise l'enracinement et l'induction florale. Récolte au printemps austral (septembre-novembre, pic S38). RÉSERVÉE À L'ALTITUDE >1000 m ("
Fruit de la passion — antilles,Fruit de la passion,Passifloraceae,Passiflora edulis,,,22,,,4,,20,,240,,300,,,,,tropical_antilles,,a_revoir,t,,,,,,,"",Plantation sur treillage début hivernage (S22). Pic de récolte fin hivernage/carême (S32-4). Rendement indiqué par pied/liane. Renouveler tous les 3-4 ans ; la forme jaune (f. flavicarpa) est la mieux adaptée à la plaine
Fruit de la passion — austral,Fruit de la passion,Passifloraceae,Passiflora edulis,,,44,,,8,,24,,300,,250,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Rendement exprimé par m² de palissage. Plantation au retour des pluies (nov.), premier pic de récolte en fin d'été / automne austral (fév.-juin). La grenadille pourpre convient aux hauteurs plus fraîches de la Réunion, l"
Fruit de la passion — equatorial,Fruit de la passion,Passifloraceae,Passiflora edulis,,,15,,,38,,20,,210,,300,,,,,equatorial,,a_revoir,t,,,,,,,"","Semis fin de petit été de mars (sem.8), repiquage au pied de la palissade à l'entrée des pluies. Conduite sur treille/fil de fer. Le maracudja jaune (f. flavicarpa) est le mieux adapté aux basses terres tropicales. Sensi"
Fève-automne,Fève,Fabaceae,Vicia faba,Plein champ,38,,,,50,,4,,84,2,30,45,30,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis direct dense, tuteurer les variétés grimpantes. Fixateur d'azote — bénéfique en rotation après légume-feuille.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Fève-printemps,Fève,Fabaceae,Vicia faba,Plein champ,8,,,,20,,4,,84,2,30,45,30,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis direct dense, tuteurer les variétés grimpantes. Fixateur d'azote — bénéfique en rotation après légume-feuille.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Gingembre — antilles,Gingembre,Zingiberaceae,Zingiber officinale,,,16,,,4,,4,,270,,30,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Plantation aux premières pluies (avril-mai) : la croissance des rhizomes couvre tout l'hivernage humide, récolte en carême (décembre-janvier) quand le feuillage jaunit. Sols riches, meubles, mi-ombre ; buttage."
Gingembre — austral,Gingembre,Zingiberaceae,Zingiber officinale,,,38,,,26,,8,,250,,30,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Plantation des rhizomes en début de saison des pluies (septembre-octobre), récolte quand les feuilles jaunissent en hiver austral (juin-juillet). Apprécie l'ombrage léger et un sol riche et bien drainé. Rhizome jeune réc"
Gingembre — equatorial,Gingembre,Zingiberaceae,Zingiber officinale,,,48,,,40,,6,,285,,30,,,,,equatorial,,a_revoir,t,,,,,,,"","Plantation des rhizomes au retour des pluies (décembre) sur sol riche, meuble et bien drainé ; croissance sur toute la saison humide et récolte en saison sèche (octobre) au dessèchement du feuillage. Un ombrage léger et "
Giraumon — antilles,Giraumon,Cucurbitaceae,Cucurbita moschata,,16,,,,30,,4,,100,,150,,,,,tropical_antilles,,a_revoir,t,,,,,,,"",Semis en fin de carême / début hivernage pour que floraison et nouaison précèdent les pluies les plus fortes (limite la pourriture des fruits). Ménager de larges espacements ; paillage pour garder les fruits propres.
Giraumon — austral,Giraumon,Cucurbitaceae,Cucurbita moschata,,46,,,,12,,4,,130,,150,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Semis en début de saison des pluies (octobre), récolte en fin d'été austral (mars). Prévoir 2-3 m² par pied (plante coureuse). Résiste mieux aux maladies que les courges tempérées. Les fruits mûrs se conservent plusieurs"
Giraumon — equatorial,Giraumon,Cucurbitaceae,Cucurbita moschata,,48,48,,,12,,6,,110,,180,,,,,equatorial,,a_revoir,t,,,,,,,"","Semis au retour des pluies (début novembre) ; les lianes couvrent le sol pendant la période humide et les fruits mûrissent vers le petit été de mars (février), plus sec, favorable à la conservation. Prévoir de grands éca"
Gombo — antilles,Gombo,Malvaceae,Abelmoschus esculentus,,22,,,,32,,10,,70,,50,,,,,tropical_antilles,,a_revoir,t,,,,,,,"",Semis à l'entrée de l'hivernage : chaleur et pluies favorisent une croissance rapide et une longue période de cueillette. Sensible aux nématodes (rotation) ; cueillette rapprochée obligatoire.
Gombo — austral,Gombo,Malvaceae,Abelmoschus esculentus,,46,,,,4,,10,,60,,50,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Semis en début d'été austral (novembre) sur sol réchauffé, récolte à partir de janvier et durant tout l'été. Cueillette tous les 2-3 jours des capsules de 6-8 cm (durcissent vite). Exige chaleur soutenue ; peu productif "
Gombo — equatorial,Gombo,Malvaceae,Abelmoschus esculentus,,1,1,,,10,,10,,60,,50,,,,,equatorial,,a_revoir,t,,,,,,,"",Semis en saison des pluies (janvier) pour une croissance vigoureuse ; récolte étalée à partir de mars. Cultivable quasiment toute l'année sous irrigation. Récolter les capsules jeunes (8-10 cm) pour éviter la fibrosité.
Goyavier — antilles,Goyavier,Myrtaceae,Psidium guajava,,,25,,,40,,12,,730,,500,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Très rustique, tolère sécheresse et sols pauvres, tend à se naturaliser. Pic de récolte souvent en fin d'hivernage/entrée carême (S40-2). Plantation début hivernage."
Goyavier — austral,Goyavier,Myrtaceae,Psidium guajava,,,44,,,20,,14,,730,,450,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Récolte principale sur l'hiver austral (mai-août). Espèce rustique tolérant sécheresse et sols pauvres, mais gourmande en eau pour de gros fruits. Attention au caractère envahissant du goyavier (surtout goyavier de Chine"
Goyavier — equatorial,Goyavier,Myrtaceae,Psidium guajava,,,15,,,30,,20,,730,,450,,,,,equatorial,,a_revoir,t,,,,,,,"",Plantation entrée des pluies. Une taille de fructification permet de concentrer la récolte ; sinon production étalée. Pointe principale après la grande saison des pluies (juillet-septembre). Surveiller la mouche des frui
Goyavier de Chine (goyave-fraise) — antilles,Goyavier de Chine (goyave-fraise),Myrtaceae,Psidium cattleianum,,,24,,,34,,8,,730,,250,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Plantation des jeunes plants en début d'hivernage (juin, sem. 24) pour une reprise sous les pluies. Fructification de l'arbuste établi en pleine saison humide (août-sept., sem. 34) sur les mornes frais et arrosés. Rustiq"
Goyavier de Chine (goyave-fraise) — austral,Goyavier de Chine (goyave-fraise),Myrtaceae,Psidium cattleianum,,,42,,,20,,8,,365,,200,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Plantation en début de saison chaude (octobre, S42) pour profiter des pluies d'établissement. Récolte de l'arbuste installé en hiver austral (mai-juillet, S20) — la célèbre saison du ""goyavier"" des hauts réunionnais. Mi-"
Goyavier de Chine (goyave-fraise) — equatorial,Goyavier de Chine (goyave-fraise),Myrtaceae,Psidium cattleianum,,,15,,,40,,8,,730,,250,,,,,equatorial,,a_revoir,t,,,,,,,"","Plaine guyanaise, sols acides humides. Plantation en début de grande saison des pluies (avril, ~sem. 15) pour l'installation. Fructification principale en fin de saison des pluies / début de saison sèche (sept.-oct., ~se"
Haricot-ete-plein-champ,Haricot,Fabaceae,Phaseolus vulgaris,Plein champ,16,,,,28,,4,,84,2,22,33,30,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis direct dense, tuteurer les variétés grimpantes. Fixateur d'azote — bénéfique en rotation après légume-feuille.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Haricot-printemps-serre,Haricot,Fabaceae,Phaseolus vulgaris,Sous abri,10,,,,22,,4,,84,2,22,33,30,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis direct dense, tuteurer les variétés grimpantes. Fixateur d'azote — bénéfique en rotation après légume-feuille.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Haricot-ete-sec,Haricot sec,Fabaceae,Phaseolus vulgaris,Plein champ,20,,,,32,,4,,84,2,22,33,30,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis direct dense, tuteurer les variétés grimpantes. Fixateur d'azote — bénéfique en rotation après légume-feuille.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Haricot-vert-ete,Haricot vert,Fabaceae,Phaseolus vulgaris,Plein champ,18,,,,30,,4,,84,2,22,33,30,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis direct dense, tuteurer les variétés grimpantes. Fixateur d'azote — bénéfique en rotation après légume-feuille.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Igname — antilles,Igname,Dioscoreaceae,Dioscorea alata,,12,,,,2,,4,,285,,80,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Plantation en fin de carême (mars-avril) pour profiter de tout l'hivernage en végétation ; récolte en saison sèche de fin d'année quand le feuillage jaunit. Sols profonds, meubles et drainés (mornes, jardins créoles). Cr"
Igname — austral,Igname,Dioscoreaceae,Dioscorea alata,,39,39,,,28,,6,,270,,100,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Plantation en fin septembre-octobre, au démarrage des pluies de l'été austral. Récolte en hiver austral sec (juin-août) quand les fanes ont séché. Buttes ou billons + tuteur/treillage indispensables. Convient jusqu'à 600"
Igname couche-couche — equatorial,Igname couche-couche,Dioscoreaceae,Dioscorea trifida,,48,48,,,38,,8,,270,,80,,,,,equatorial,,a_revoir,t,,,,,,,"",Plantation au retour des pluies (décembre) pour que la liane s'installe pendant la grande saison des pluies. Récolte en saison sèche (septembre-octobre) après jaunissement du feuillage. Sols meubles et bien drainés en bu
Jacquier — equatorial,Jacquier,Moraceae,Artocarpus heterophyllus,,,15,,,2,,18,,1825,,1000,,,,,equatorial,,a_revoir,t,,,,,,,"","Très grand arbre : prévoir 10-12 m et sol profond drainé. Fruits énormes portés sur le tronc, récolte principale déc-avril. Greffage conseillé pour typer la variété et raccourcir la mise à fruit. Bien présent dans les ja"
Laitue-automne,Laitue,Asteraceae,Lactuca sativa,,30,34,,,38,,4,,56,2,28,42,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Semis échelonné toutes les 2 semaines pour étaler la récolte. Sol frais et drainé.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Laitue-ete,Laitue,Asteraceae,Lactuca sativa,,20,24,,,28,,4,,56,2,28,42,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Semis échelonné toutes les 2 semaines pour étaler la récolte. Sol frais et drainé.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Laitue-ete-tardive,Laitue,Asteraceae,Lactuca sativa,Plein champ,27,31,,,35,,4,,56,2,28,42,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Semis échelonné toutes les 2 semaines pour étaler la récolte. Sol frais et drainé.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Laitue-hiver-serre,Laitue,Asteraceae,Lactuca sativa,Sous abri,40,44,,,48,,4,28,56,2,28,42,,Sous abri,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Semis échelonné toutes les 2 semaines pour étaler la récolte. Sol frais et drainé.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Laitue-printemps,Laitue,Asteraceae,Lactuca sativa,,8,12,,,16,,4,,56,2,28,42,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Semis échelonné toutes les 2 semaines pour étaler la récolte. Sol frais et drainé.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Laitue-printemps-precoce,Laitue,Asteraceae,Lactuca sativa,Plein champ,5,9,,,13,,4,,56,2,28,42,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Semis échelonné toutes les 2 semaines pour étaler la récolte. Sol frais et drainé.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Laitue-printemps-serre,Laitue,Asteraceae,Lactuca sativa,Sous abri,8,12,,,16,,4,28,56,2,28,42,,Sous abri,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Semis échelonné toutes les 2 semaines pour étaler la récolte. Sol frais et drainé.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Letchi — antilles,Letchi,Sapindaceae,Litchi chinensis,,,25,,,22,,5,,1460,,800,,,,,tropical_antilles,,a_revoir,t,,,,,,,"",Culture marginale/de niche aux Antilles : demande un carême frais (idéalement >300 m) pour fleurir. Récolte courte et concentrée mai-juillet (S20-28). Sensible aux cyclones d'hivernage.
Letchi — austral,Letchi,Sapindaceae,Litchi chinensis,,,44,,,47,,8,,1825,,800,,,,,tropical_austral,,a_revoir,t,,,,,,,"",Fruit emblématique de Noël à La Réunion : récolte concentrée mi-novembre à mi-janvier (pic mi-décembre). Plantation en début de saison des pluies. L'induction florale dépend d'un hiver austral bien marqué en fraîcheur —
Lime de Tahiti — antilles,Lime de Tahiti,Rutaceae,Citrus latifolia,,,25,,,26,,24,,1095,,500,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Agrume tropical sans épines/sans pépins, remontant : production quasi continue, pic en hivernage. Alternative aromatique : le combava (Citrus hystrix) pour la feuille et le zeste. Attention au HLB/greening : plants certi"
Lime de Tahiti — austral,Lime de Tahiti,Rutaceae,Citrus latifolia,,,46,,,8,,24,,900,,500,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Production étalée sur une large fenêtre grâce à sa remontée, avec un pic en été/automne austral. Agrume tropical de basse altitude, bien adapté aux littoraux de la Réunion, N.-Calédonie et Polynésie."
Lime de Tahiti — equatorial,Lime de Tahiti,Rutaceae,Citrus latifolia,,,15,,,22,,30,,1095,,450,,,,,equatorial,,a_revoir,t,,,,,,,"",Le lime (limettier) est l'agrume le plus adapté aux basses terres tropicales humides (plus que l'oranger). Greffer sur porte-greffe résistant à Phytophthora/gommose. Production remontante quasi continue. Surveiller le ch
Longane — antilles,Longane,Sapindaceae,Dimocarpus longan,,,25,,,32,,6,,1095,,800,,,,,tropical_antilles,,a_revoir,t,,,,,,,"",Plus fiable que le letchi en plaine antillaise. Récolte fin d'hivernage août-septembre (S32-38). Plantation début hivernage. Pluvio 1200-2000 mm.
Longane — austral,Longane,Sapindaceae,Dimocarpus longan,,,44,,,6,,8,,1825,,800,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Récolte juste après le letchi : février-mars (fin d'été austral), ce qui étale l'offre de fruits Sapindaceae. Plantation en début de pluies. Bien adapté aux mi-pentes de la Réunion et de N.-Calédonie."
Madère (tania) — antilles,Madère (tania),Araceae,Xanthosoma sagittifolium,,24,,,,18,,6,,300,,80,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Plantation à l'entrée de l'hivernage ; récolte en carême quand le feuillage dépérit. Supporte mieux le ressuyage que la dachine, donc adapté aux terres de mi-pente. Buttage pour favoriser les cormeaux."
Madère (tania) — equatorial,Madère (tania),Araceae,Xanthosoma sagittifolium,,48,48,,,44,,10,,305,,100,,,,,equatorial,,a_revoir,t,,,,,,,"","Plantation au retour des pluies (décembre), croissance sur toute la saison humide, récolte en fin de saison sèche (octobre-novembre). Contrairement au taro, supporte les terres hautes de savane ou de barre du littoral sa"
Manguier — antilles,Manguier,Anacardiaceae,Mangifera indica,,,25,,,22,,12,,1095,,900,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Zone Antilles (hémisphère NORD, PAS d'inversion). Plantation en début d'hivernage (mi-juin, ~S25) pour établissement sous les pluies. Récolte principale juin-août (S22-34) après induction florale du carême. De 0 à 400 m,"
Manguier — austral,Manguier,Anacardiaceae,Mangifera indica,,,46,,,48,,12,,1460,,900,,,,,tropical_austral,,a_revoir,t,,,,,,,"",Réunion / N.-Calédonie : plantation en début de saison des pluies (novembre). Récolte de plein été austral (fin novembre à février). L'hiver austral sec et frais déclenche la floraison ; irrigation d'appoint au grossisse
Manguier — equatorial,Manguier,Anacardiaceae,Mangifera indica,,,15,,,50,,12,,1095,,900,,,,,equatorial,,a_revoir,t,,,,,,,"","Plantation début grande saison des pluies (avril, sem.15). Récolte principale novembre-janvier, après floraison de saison sèche. Préférer variétés greffées type 'Julie', 'Amélie', 'Cambodgienne' peu sensibles à l'anthrac"
Manioc — antilles,Manioc,Euphorbiaceae,Manihot esculenta,,24,,,,16,,8,,300,,100,,,,,tropical_antilles,,a_revoir,t,,,,,,,"","Bouturage à l'entrée de l'hivernage (juin) pour un enracinement sous les pluies ; récolte en carême suivant, sol sec plus facile à arracher. Extrêmement tolérant à la sécheresse une fois établi, valorise les sols pauvres"
Manioc — austral,Manioc,Euphorbiaceae,Manihot esculenta,,46,46,,,40,,12,,330,,100,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Boutures plantées en début de saison des pluies (novembre-décembre). Récolte échelonnée à partir de 10-11 mois ; les racines se conservent en terre. Variétés douces pour consommation directe, amères à détoxifier. Peu exi"
Manioc — equatorial,Manioc,Euphorbiaceae,Manihot esculenta,,47,47,,,40,,16,,305,,100,,,,,equatorial,,a_revoir,t,,,,,,,"","Plantation des boutures au retour des pluies (fin novembre-décembre) sur les sols bien drainés du littoral (2500-3500 mm/an). Récolte échelonnée à partir d'octobre, en saison sèche, quand le sol se travaille facilement. "
Margose (concombre amer) — antilles,Margose (concombre amer),Cucurbitaceae,Momordica charantia,,20,,,,30,,10,,70,,80,,,,,tropical_antilles,,a_revoir,t,,,,,,,"",Semis en entrée d'hivernage sous treillage pour aérer le feuillage et limiter les maladies fongiques favorisées par l'humidité. Sensible aux mouches des fruits (ensachage/pièges). Possible aussi en carême sous irrigation
Margose (concombre amer) — austral,Margose (concombre amer),Cucurbitaceae,Momordica charantia,,44,,,,2,,8,,70,,80,,,,,tropical_austral,,a_revoir,t,,,,,,,"","Semis en début d'été austral (novembre), récolte de janvier à mars. Treillage vertical obligatoire. Récolter les fruits encore verts (moins amers). Chaleur et humidité de l'été austral idéales ; sensible aux mouches des "
Margose (concombre amer) — equatorial,Margose (concombre amer),Cucurbitaceae,Momordica charantia,,6,6,,,16,,8,,65,,80,,,,,equatorial,,a_revoir,t,,,,,,,"",Semis en saison des pluies (février) et palissage sur treillage pour aérer le feuillage et limiter les maladies fongiques favorisées par l'humidité. Cultivable toute l'année sous irrigation. Récolter les fruits jeunes et
Mais-ete,Maïs,Poaceae,,Plein champ,16,,,,28,,4,,84,2,30,45,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Semis direct en lignes espacées 70-80 cm. Plante exigeante en eau et azote — bon précédent pour Brassicacées.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Melon-ete,Melon,Cucurbitaceae,Cucumis melo,Plein champ,14,18,,,26,,4,,84,1,100,150,,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,"Semis sous abri 6-8 semaines avant plantation. Sol > 18 °C, paillage chaud (BRF, plastique noir). Sensible au mildiou.","Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
EV-Moutarde-automne,Moutarde,Brassicaceae,Sinapis alba,,34,,,,46,,4,,84,2,22,33,3,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Engrais vert / couvre-sol — semis direct à la volée puis enfouissement avant montée à graines. Améliore la structure du sol.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Mache-automne,Mâche,Valerianaceae,Valerianella locusta,Plein champ,36,,,,48,,4,,84,2,30,45,3,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Semis échelonné toutes les 2 semaines pour étaler la récolte. Sol frais et drainé.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
Mache-ete,Mâche,Valerianaceae,Valerianella locusta,Plein champ,23,,,,35,,4,,84,2,30,45,3,Plein champ,,,,a_revoir,t,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15 14:00:05.379,Semis échelonné toutes les 2 semaines pour étaler la récolte. Sol frais et drainé.,"Adapté climat France \\n Source: ITAB, Standard Climat France (Valable 2026)"
