itp_id,espece,famille,nom_latin,type_planche,semaine_semis,semaine_plantation,semaine_implantation_debut,semaine_implantation_fin,semaine_recolte,semaine_recolte_fin,duree_recolte,duree_pepiniere,duree_culture,nb_rangs,espacement_cm,esp_rangs_cm,dose_semis,implantation,forcage,zone_climat,contexte_climatique,statut_validation,actif,source_reference,source_url,source_record_id,source_version,source_licence,derniere_revision,commentaire_agronome,notes
Chou-rave-hiver-serre,Chou-rave,Brassicaceae,Brassica oleracea var. gongylodes,Sous abri,49,1,,,9,,4,4,84,1,50,75,,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:00:05.379Z,Plant repiqué après les dernières gelées. Famille des Brassicacées — éviter retour sous 4 ans (hernie du chou).,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Chou-rave-printemps,Chou-rave,Brassicaceae,Brassica oleracea var. gongylodes,Plein champ,10,14,,,22,,4,,84,1,50,75,,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:00:05.379Z,Plant repiqué après les dernières gelées. Famille des Brassicacées — éviter retour sous 4 ans (hernie du chou).,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
INRAE-MESCLUN-0091,Chou-rave,Brassicaceae,Brassica oleracea var. gongylodes,Sous abri,,35,35,37,44,48,5,,70,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0091,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Chou rave — Choux rave.,
INRAE-MESCLUN-0092,Chou-rave,Brassicaceae,Brassica oleracea var. gongylodes,Sous abri,,1,1,3,14,18,5,,98,,,,,Plantation,true,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0092,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Chou rave — Choux rave.,
INRAE-MESCLUN-0093,Chou-rave,Brassicaceae,Brassica oleracea var. gongylodes,Sous abri,,5,5,7,16,20,5,,84,,,,,Plantation,true,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0093,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Chou rave — Choux rave.,
INRAE-MESCLUN-0094,Chou-rave,Brassicaceae,Brassica oleracea var. gongylodes,Plein champ,,14,14,16,22,27,6,,70,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0094,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Chou rave — Choux rave.,
INRAE-MESCLUN-0095,Chou-rave,Brassicaceae,Brassica oleracea var. gongylodes,Plein champ,,18,18,20,27,31,5,,70,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0095,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Chou rave — Choux rave.,
INRAE-MESCLUN-0096,Chou-rave,Brassicaceae,Brassica oleracea var. gongylodes,Plein champ,,22,22,24,31,35,5,,70,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0096,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Chou rave — Choux rave.,
INRAE-MESCLUN-0097,Chou-rave,Brassicaceae,Brassica oleracea var. gongylodes,Plein champ,,27,27,29,35,40,6,,70,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0097,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Chou rave — Choux rave.,
INRAE-MESCLUN-0098,Chou-rave,Brassicaceae,Brassica oleracea var. gongylodes,Plein champ,,31,31,33,40,44,5,,70,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0098,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Chou rave — Choux rave.,
INRAE-MESCLUN-0099,Chou-rave,Brassicaceae,Brassica oleracea var. gongylodes,Plein champ,,9,9,11,20,24,5,,84,,,,,Plantation,true,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0099,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Chou rave — Choux rave.,
Chenopode,Chénopode,Amaranthaceae,,,14,,,,26,,4,,84,2,30,45,3,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:00:05.379Z,Engrais vert / couvre-sol — semis direct à la volée puis enfouissement avant montée à graines. Améliore la structure du sol.,"Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
INRAE-MESCLUN-0368,Ciboule-cébette,Alliaceae,Allium cepa,Sous abri,,37,37,40,7,11,5,,154,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0368,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Oignon ciboule-cébette — Oignon ciboule.,
INRAE-MESCLUN-0369,Ciboule-cébette,Alliaceae,Allium cepa,Sous abri,,42,42,44,11,16,6,,161,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0369,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Oignon ciboule-cébette — Oignon ciboule.,
INRAE-MESCLUN-0111,Ciboulette,Alliaceae,Allium schoenoprasum,Plein champ,,9,9,11,18,46,29,,154,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0111,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Ciboulette — Ciboulette.,Récolte : Récolte qui s'étale sur la période
INRAE-MESCLUN-0112,Ciboulette,Alliaceae,Allium schoenoprasum,Sous abri,,35,35,37,42,20,31,,147,,,,,Plantation,true,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0112,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Ciboulette — Ciboulette abris.,Récolte : Récolte qui s'étale sur la période
Cive — antilles,Cive,Alliaceae,Allium fistulosum,,,4,,,13,,12,,75,,20,,,,,tropical_antilles,,a_revoir,true,,,,,,,,Installation possible toute l'année ; le créneau de carême (sous irrigation) réduit la pression des maladies foliaires liées à l'humidité. Diviser les touffes régulièrement pour relancer la production.
Cive — austral,Cive,Alliaceae,Allium fistulosum,,,20,,,32,,20,,80,,20,,,,,tropical_austral,,a_revoir,true,,,,,,,,"Division/plantation de préférence en début d'hiver austral (mai-juin), saison plus fraîche qui limite la montaison et les maladies. Récolte continue en coupant les feuilles, la souche repartant. Bien drainer : pourrit en"
Cive — equatorial,Cive,Alliaceae,Allium fistulosum,,,44,,,4,,20,,80,,15,,,,,equatorial,,a_revoir,true,,,,,,,,Plantation d'éclats au retour des pluies (novembre) sur sol bien drainé et riche ; coupes régulières ensuite. Ne forme pas de bulbe en zone équatoriale (photopériode insuffisante) : cultivée pour son feuillage aromatique
Cocotier — antilles,Cocotier,Arecaceae,Cocos nucifera,,,25,,,1,,52,,1825,,800,,,,,tropical_antilles,,a_revoir,true,,,,,,,,"Palmier littoral tolérant au sel et au vent, production continue (récolte étalée sur 52 semaines). Rendement en noix (~60-80 noix/an) exprimé en kg. Privilégier variétés naines pour l'eau de coco. Plantation début hivern"
Cocotier — austral,Cocotier,Arecaceae,Cocos nucifera,,,46,,,44,,52,,2555,,800,,,,,tropical_austral,,a_revoir,true,,,,,,,,"Production continue toute l'année une fois adulte (la semaine de récolte est indicative). Espèce littorale par excellence de Polynésie, Wallis et Mayotte, tolérante au sel et au vent. Mise en place de la noix germée en d"
Combava — austral,Combava,Rutaceae,Citrus hystrix,,,46,,,10,,16,,900,,400,,,,,tropical_austral,,a_revoir,true,,,,,,,,"Fruits surtout en fin d'été / automne austral (mars-juin), feuilles cueillies toute l'année. Agrume rustique de basse et moyenne altitude, incontournable à la Réunion et présent à Mayotte et N.-Calédonie."
Combava — equatorial,Combava,Rutaceae,Citrus hystrix,,,15,,,40,,20,,1095,,350,,,,,equatorial,,a_revoir,true,,,,,,,,"Cultivé surtout pour ses feuilles bi-lobées et le zeste bosselé, bases de la cuisine créole et asiatique. Feuilles récoltées toute l'année ; fruits en fin d'année. Se conduit en arbuste taillé. Bien adapté à l'humidité, "
Concombre-ete-serre,Concombre,Cucurbitaceae,Cucumis sativus,Sous abri,14,18,,,26,,4,28,84,1,70,105,,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:00:05.379Z,"Semis sous abri 6-8 semaines avant plantation. Sol > 18 °C, paillage chaud (BRF, plastique noir). Sensible au mildiou.","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Concombre-printemps-serre,Concombre,Cucurbitaceae,Cucumis sativus,Sous abri,10,14,,,22,,4,28,84,1,70,105,,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:00:05.379Z,"Semis sous abri 6-8 semaines avant plantation. Sol > 18 °C, paillage chaud (BRF, plastique noir). Sensible au mildiou.","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
INRAE-MESCLUN-0113,Concombre,Cucurbitaceae,Cucumis sativus,Sous abri,,18,18,20,24,35,12,,77,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0113,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Concombre — Concombre.,
INRAE-MESCLUN-0114,Concombre,Cucurbitaceae,Cucumis sativus,Sous abri,,22,22,24,29,40,12,,84,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0114,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Concombre — Concombre.,
INRAE-MESCLUN-0115,Concombre,Cucurbitaceae,Cucumis sativus,Sous abri,,27,27,29,33,44,12,,77,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0115,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Concombre — Concombre.,
INRAE-MESCLUN-0116,Concombre,Cucurbitaceae,Cucumis sativus,Sous abri,,14,14,16,20,31,12,,77,,,,,Plantation,true,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0116,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Concombre — Concombre.,
INRAE-MESCLUN-0117,Concombre,Cucurbitaceae,Cucumis sativus,Plein champ,,20,20,22,27,31,5,,56,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0117,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Concombre — Concombre.,
INRAE-MESCLUN-0118,Concombre,Cucurbitaceae,Cucumis sativus,Plein champ,,24,24,27,31,35,5,,49,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0118,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Concombre — Concombre.,
Coriandre,Coriandre,Apiaceae,Coriandrum sativum,Plein champ,6,,,,18,,4,,84,3,15,22,,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:00:05.379Z,"Aromatique semis direct ou godet. Sol drainé, exposition ensoleillée. Récolte échelonnée des feuilles fraîches.","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
INRAE-MESCLUN-0119,Coriandre,Apiaceae,Coriandrum sativum,Plein champ,,9,9,11,16,22,7,,63,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0119,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Coriandre — Coriandre.,
INRAE-MESCLUN-0120,Coriandre,Apiaceae,Coriandrum sativum,Plein champ,,18,18,20,22,27,6,,42,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0120,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Coriandre — Coriandre.,
INRAE-MESCLUN-0121,Coriandre,Apiaceae,Coriandrum sativum,Plein champ,,22,22,24,27,31,5,,42,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0121,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Coriandre — Coriandre.,
INRAE-MESCLUN-0122,Coriandre,Apiaceae,Coriandrum sativum,Plein champ,,27,27,29,31,35,5,,35,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0122,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Coriandre — Coriandre.,
INRAE-MESCLUN-0123,Coriandre,Apiaceae,Coriandrum sativum,Plein champ,,31,31,33,35,42,8,,49,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0123,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Coriandre — Coriandre.,
INRAE-MESCLUN-0124,Coriandre,Apiaceae,Coriandrum sativum,Sous abri,,5,5,7,11,16,6,,56,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0124,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Coriandre — Coriandre Abris.,
INRAE-MESCLUN-0125,Coriandre,Apiaceae,Coriandrum sativum,Sous abri,,37,37,40,44,14,23,,112,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0125,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Coriandre — Coriandre Abris.,Récolte : Plusieurs récoltes sur le cycle: 44-48; 1-5; 9-14
INRAE-MESCLUN-0126,Coriandre,Apiaceae,Coriandrum sativum,Sous abri,,42,42,44,48,9,14,,84,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0126,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Coriandre — Coriandre Abris.,Récolte : Plusieurs récoltes sur le cycle: 48-53; 5-9
INRAE-MESCLUN-0127,Cornichon,Cucurbitaceae,Cucumis sativus,Plein champ,,20,20,22,26,31,6,,56,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0127,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Cornichon — Concombre.,Récolte : RAS (mais à récolter tous les jours)
INRAE-MESCLUN-0128,Cornichon,Cucurbitaceae,Cucumis sativus,Plein champ,,24,24,27,30,35,6,,49,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0128,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Cornichon — Concombre.,Récolte : RAS (mais à récolter tous les jours)
Corossol — antilles,Corossol,Annonaceae,Annona muricata,,,25,,,36,,20,,1095,,500,,,,,tropical_antilles,,a_revoir,true,,,,,,,,"Strictement tropical, gélif, aime chaleur et humidité constantes. Pic de récolte fin hivernage-carême (S36-4). Sensible aux cochenilles/foreurs. Plantation début hivernage."
Corossol — austral,Corossol,Annonaceae,Annona muricata,,,44,,,2,,16,,1095,,400,,,,,tropical_austral,,a_revoir,true,,,,,,,,"Pic de récolte en été austral et début d'automne (janv.-avril). Vrai tropical frileux : réserver aux zones chaudes de basse altitude (littoral Réunion, Mayotte, N.-Calédonie). Pollinisation à la main recommandée en verge"
Corossol — equatorial,Corossol,Annonaceae,Annona muricata,,,15,,,26,,24,,1095,,450,,,,,equatorial,,a_revoir,true,,,,,,,,L'Annona la mieux adaptée aux climats chauds et humides (contrairement au cœur de bœuf/pomme-cannelle qui préfèrent une saison sèche). Pollinisation manuelle recommandée. Sensible aux cochenilles et à la foreuse des grai
Cosmos,Cosmos,Asteraceae,Cosmos bipinnatus,,16,,,,28,,4,,84,2,30,45,,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:00:05.379Z,"Fleur compagne — semis direct ou godet selon espèce. Attire les pollinisateurs, fait office de plante-piège pour les pucerons.","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Courge-ete,Courge,Cucurbitaceae,Cucurbita maxima,Plein champ,16,20,,,36,,4,,140,1,100,150,,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:00:05.379Z,"Semis sous abri 6-8 semaines avant plantation. Sol > 18 °C, paillage chaud (BRF, plastique noir). Sensible au mildiou.","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
Courge-printemps,Courge,Cucurbitaceae,Cucurbita maxima,Plein champ,10,14,,,30,,4,,140,1,100,150,,,,,,a_revoir,true,ITAB Guides Légumes Bio (T1+T2) ; semencemag.fr (SNHF) ; Semailles densités semis,,,,,2026-05-15T14:00:05.379Z,"Semis sous abri 6-8 semaines avant plantation. Sol > 18 °C, paillage chaud (BRF, plastique noir). Sensible au mildiou.","Adapté climat France \n Source: ITAB, Standard Climat France (Valable 2026)"
INRAE-MESCLUN-0129,Courge,Cucurbitaceae,Cucurbita maxima,Plein champ,14,,14,18,31,40,10,,140,,,,,Semis,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne et expertise,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0129,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Courge.,
INRAE-MESCLUN-0130,Courge,Cucurbitaceae,Cucurbita maxima,Plein champ,,18,18,22,31,40,10,,112,,,,,Plantation,false,oceanique,Nord-Ouest,source_documentee,true,INRAE — Pépinière-Mesclun v1.1 · DOI 10.57745/IQVM2I · cycle : FRAB Bretagne et expertise,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IQVM2I,inrae-mesclun-v1.1-cycles-0130,1.1,Licence Ouverte / Open Licence Etalab 2.0,2026-07-29T00:00:00.000Z,[2026-07-29] Fenêtres importées sans réduction depuis Pépinière-Mesclun v1.1. Culture source : Courge.,
