id,espece,fournisseur,semaineRecolte_actuel,semaineRecolte_AI,dureeRecolte_actuel,dureeRecolte_AI,nbGrainesG_actuel,nbGrainesG_AI,prixGraine_actuel,prixGraine_AI,prixVenteKg_AI,circuit_AI,description_actuelle,description_AI,sources_AI
Tomate Saint Pierre,Tomate,,,30.0,,4.0,350.0,325.0,,4.5,3.5,Court / AMAP / Marché,,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate San Marzano,Tomate,,,30.0,,4.0,350.0,325.0,,4.5,3.5,Court / AMAP / Marché,,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate Udagorri,Tomate,,,30.0,,4.0,350.0,325.0,,4.5,3.5,Court / AMAP / Marché,,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate Yellow Feather,Tomate,,,30.0,,4.0,350.0,325.0,,4.5,3.5,Court / AMAP / Marché,,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate cerise rouge,Tomate,,,30.0,,4.0,350.0,325.0,,4.5,3.5,Court / AMAP / Marché,,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate coeur de boeuf,Tomate,,,30.0,,4.0,350.0,325.0,,4.5,3.5,Court / AMAP / Marché,,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate-Cerise rouge,Tomate,Kokopelli,,30.0,,4.0,400.0,325.0,,4.5,3.5,Court / AMAP / Marché,"Productive, sucrée","Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate-Coeur de Boeuf,Tomate,Kokopelli,,30.0,,4.0,300.0,325.0,,4.5,3.5,Court / AMAP / Marché,Grosse tomate charnue,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate-Marmande,Tomate,Germinance,,30.0,,4.0,350.0,325.0,,4.5,3.5,Court / AMAP / Marché,"Classique, précoce","Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate-Noire de Crimée,Tomate,Biaugerme,,30.0,,4.0,280.0,325.0,,4.5,3.5,Court / AMAP / Marché,Goût exceptionnel,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Tomate-Roma,Tomate,La Ferme de Sainte Marthe,,30.0,,4.0,320.0,325.0,,4.5,3.5,Court / AMAP / Marché,Pour sauce et conserve,"Fruit rouge, tuteur (Variété sélectionnée)","Kokopelli, Germinance, RNM"
Topinambour Rose,Topinambour,,,30.0,,4.0,,100.0,,4.5,3.0,Court / AMAP / Marché,,Tubercule vivace (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Tournesol,Tournesol,,,30.0,,4.0,11.36,100.0,,4.5,4.0,Court / AMAP / Marché,,Fleur géante (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Trèfle violet,Trèfle violet,,,30.0,,4.0,40.0,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Vesce hiver,Vesce,,,30.0,,4.0,45.0,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Épinard Géant d'Hiver,Épinard,Ferme de Sainte Marthe,,30.0,,4.0,,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,Épinard résistant au froid,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
Épinard-Géant d'hiver,Épinard,Germinance,,30.0,,4.0,100.0,100.0,,4.5,NON_TROUVE,Court / AMAP / Marché,,NON_TROUVE (Variété sélectionnée),"Kokopelli, Germinance, RNM"
